city,city_ascii,province_id,province_name,country
"Airdrie","Airdrie","","Alberta","Canada"
"Alberta Beach","Alberta Beach","","Alberta","Canada"
"Alliance","Alliance","","Alberta","Canada"
"Athabasca","Athabasca","","Alberta","Canada"
"Banff","Banff","","Alberta","Canada"
"Barrhead","Barrhead","","Alberta","Canada"
"BAshaw","BAshaw","","Alberta","Canada"
"Bassano","Bassano","","Alberta","Canada"
"BAWLF","BAWLF","","Alberta","Canada"
"Beaumont","Beaumont","","Alberta","Canada"
"Beaverlodge","Beaverlodge","","Alberta","Canada"
"Bentley","Bentley","","Alberta","Canada"
"Black Diamond","Black Diamond","","Alberta","Canada"
"Blackfalds","Blackfalds","","Alberta","Canada"
"Bon Accord","Bon Accord","","Alberta","Canada"
"Bonnyville","Bonnyville","","Alberta","Canada"
"Bow Island","Bow Island","","Alberta","Canada"
"Bowden","Bowden","","Alberta","Canada"
"Brooks","Brooks","","Alberta","Canada"
"Bruederheim","Bruederheim","","Alberta","Canada"
"Calgary","Calgary","","Alberta","Canada"
"Calmar","Calmar","","Alberta","Canada"
"Camrose","Camrose","","Alberta","Canada"
"Canmore","Canmore","","Alberta","Canada"
"Cardston","Cardston","","Alberta","Canada"
"CARSELAND","CARSELAND","","Alberta","Canada"
"Carstairs","Carstairs","","Alberta","Canada"
"CARvel","CARvel","","Alberta","Canada"
"Chestermere","Chestermere","","Alberta","Canada"
"Claresholm","Claresholm","","Alberta","Canada"
"Coaldale","Coaldale","","Alberta","Canada"
"Coalhurst","Coalhurst","","Alberta","Canada"
"Cochrane","Cochrane","","Alberta","Canada"
"Cold Lake","Cold Lake","","Alberta","Canada"
"ColdLake","ColdLake","","Alberta","Canada"
"ColEMAN","ColEMAN","","Alberta","Canada"
"Crossfield","Crossfield","","Alberta","Canada"
"Crowsnest Pass","Crowsnest Pass","","Alberta","Canada"
"Devon","Devon","","Alberta","Canada"
"Didsbury","Didsbury","","Alberta","Canada"
"DISBURY","DISBURY","","Alberta","Canada"
"Drayton Valley","Drayton Valley","","Alberta","Canada"
"Drumheller","Drumheller","","Alberta","Canada"
"Duchess","Duchess","","Alberta","Canada"
"DUNMORE","DUNMORE","","Alberta","Canada"
"Eckville","Eckville","","Alberta","Canada"
"Edmonton","Edmonton","","Alberta","Canada"
"Edson","Edson","","Alberta","Canada"
"Elk Point","Elk Point","","Alberta","Canada"
"Falher","Falher","","Alberta","Canada"
"Fort Macleod","Fort Macleod","","Alberta","Canada"
"Fort mcmurray","Fort mcmurray","","Alberta","Canada"
"Fort Saskatchewan","Fort Saskatchewan","","Alberta","Canada"
"FORT VERMILION","FORT VERMILION","","Alberta","Canada"
"Fox Creek","Fox Creek","","Alberta","Canada"
"FROG LAKE","FROG LAKE","","Alberta","Canada"
"Gibbons","Gibbons","","Alberta","Canada"
"GRAND CENTRE","GRAND CENTRE","","Alberta","Canada"
"GRAND PRAIRIE","GRAND PRAIRIE","","Alberta","Canada"
"Grande Cache","Grande Cache","","Alberta","Canada"
"Grande Prairie","Grande Prairie","","Alberta","Canada"
"Grimshaw","Grimshaw","","Alberta","Canada"
"Hanna","Hanna","","Alberta","Canada"
"HARDISTY","HARDISTY","","Alberta","Canada"
"HEINSBURG","HEINSBURG","","Alberta","Canada"
"High Level","High Level","","Alberta","Canada"
"High Prairie","High Prairie","","Alberta","Canada"
"High River","High River","","Alberta","Canada"
"Hinton","Hinton","","Alberta","Canada"
"HOBBEMA","HOBBEMA","","Alberta","Canada"
"Innisfail","Innisfail","","Alberta","Canada"
"Irricana","Irricana","","Alberta","Canada"
"Jasper","Jasper","","Alberta","Canada"
"JOUSSARD","JOUSSARD","","Alberta","Canada"
"Lacombe","Lacombe","","Alberta","Canada"
"Lamont","Lamont","","Alberta","Canada"
"Leduc","Leduc","","Alberta","Canada"
"Legal","Legal","","Alberta","Canada"
"Lethbridge","Lethbridge","","Alberta","Canada"
"Lloydminster","Lloydminster","","Alberta","Canada"
"Magrath","Magrath","","Alberta","Canada"
"Manning","Manning","","Alberta","Canada"
"Mayerthorpe","Mayerthorpe","","Alberta","Canada"
"Medicine Hat","Medicine Hat","","Alberta","Canada"
"MEDLEY","MEDLEY","","Alberta","Canada"
"Millet","Millet","","Alberta","Canada"
"MIRROR","MIRROR","","Alberta","Canada"
"Morinville","Morinville","","Alberta","Canada"
"Nanton","Nanton","","Alberta","Canada"
"Nobleford","Nobleford","","Alberta","Canada"
"Okotoks","Okotoks","","Alberta","Canada"
"Olds","Olds","","Alberta","Canada"
"Onoway","Onoway","","Alberta","Canada"
"Oyen","Oyen","","Alberta","Canada"
"Peace River","Peace River","","Alberta","Canada"
"Penhold","Penhold","","Alberta","Canada"
"Picture Butte","Picture Butte","","Alberta","Canada"
"Pincher Creek","Pincher Creek","","Alberta","Canada"
"Ponoka","Ponoka","","Alberta","Canada"
"Provost","Provost","","Alberta","Canada"
"Raymond","Raymond","","Alberta","Canada"
"Red Deer","Red Deer","","Alberta","Canada"
"Redcliff","Redcliff","","Alberta","Canada"
"Redwater","Redwater","","Alberta","Canada"
"Rimbey","Rimbey","","Alberta","Canada"
"ROCKY MOUNTAIN","ROCKY MOUNTAIN","","Alberta","Canada"
"Rocky Mountain House","Rocky Mountain House","","Alberta","Canada"
"SADDLE LAKE","SADDLE LAKE","","Alberta","Canada"
"Saskatoon","Saskatoon","","Alberta","Canada"
"Sexsmith","Sexsmith","","Alberta","Canada"
"SHERWOOD PARK","SHERWOOD PARK","","Alberta","Canada"
"SIBBALD","SIBBALD","","Alberta","Canada"
"Slave Lake","Slave Lake","","Alberta","Canada"
"SPIRIT RIVER","SPIRIT RIVER","","Alberta","Canada"
"Springbrook","Springbrook","","Alberta","Canada"
"Spruce Grove","Spruce Grove","","Alberta","Canada"
"St. Albert","St. Albert","","Alberta","Canada"
"St. Paul","St. Paul","","Alberta","Canada"
"Stettler","Stettler","","Alberta","Canada"
"Stony Plain","Stony Plain","","Alberta","Canada"
"Strathmore","Strathmore","","Alberta","Canada"
"Sundre","Sundre","","Alberta","Canada"
"Swan Hills","Swan Hills","","Alberta","Canada"
"Sylvan Lake","Sylvan Lake","","Alberta","Canada"
"Taber","Taber","","Alberta","Canada"
"Three hill","Three hill","","Alberta","Canada"
"Three Hills","Three Hills","","Alberta","Canada"
"Tofield","Tofield","","Alberta","Canada"
"Trochu","Trochu","","Alberta","Canada"
"TURIN","TURIN","","Alberta","Canada"
"Turner Valley","Turner Valley","","Alberta","Canada"
"Two Hills","Two Hills","","Alberta","Canada"
"Valleyview","Valleyview","","Alberta","Canada"
"Vauxhall","Vauxhall","","Alberta","Canada"
"Vegreville","Vegreville","","Alberta","Canada"
"Vermilion","Vermilion","","Alberta","Canada"
"Viking","Viking","","Alberta","Canada"
"Vulcan","Vulcan","","Alberta","Canada"
"Wabasca","Wabasca","","Alberta","Canada"
"Wainwright","Wainwright","","Alberta","Canada"
"Wembley","Wembley","","Alberta","Canada"
"Westlock","Westlock","","Alberta","Canada"
"Wetaskiwin","Wetaskiwin","","Alberta","Canada"
"Whitecourt","Whitecourt","","Alberta","Canada"
"Wood Buffalo","Wood Buffalo","","Alberta","Canada"
"WRENTHAM","WRENTHAM","","Alberta","Canada"
"Abbotsford","Abbotsford","","British Columbia","Canada"
"Aldergrove","Aldergrove","","British Columbia","Canada"
"Anmore","Anmore","","British Columbia","Canada"
"Armstrong","Armstrong","","British Columbia","Canada"
"Ashcroft","Ashcroft","","British Columbia","Canada"
"Barriere","Barriere","","British Columbia","Canada"
"BIG LAKE","BIG LAKE","","British Columbia","Canada"
"Bowen Island","Bowen Island","","British Columbia","Canada"
"Burnaby","Burnaby","","British Columbia","Canada"
"Burns Lake","Burns Lake","","British Columbia","Canada"
"Campbell River","Campbell River","","British Columbia","Canada"
"Castlegar","Castlegar","","British Columbia","Canada"
"Cedar","Cedar","","British Columbia","Canada"
"Central Saanich","Central Saanich","","British Columbia","Canada"
"Chase","Chase","","British Columbia","Canada"
"Chetwynd","Chetwynd","","British Columbia","Canada"
"Chilliwack","Chilliwack","","British Columbia","Canada"
"Clearwater","Clearwater","","British Columbia","Canada"
"Coldstream","Coldstream","","British Columbia","Canada"
"Colwood","Colwood","","British Columbia","Canada"
"Comox","Comox","","British Columbia","Canada"
"Coombs","Coombs","","British Columbia","Canada"
"Coquitlam","Coquitlam","","British Columbia","Canada"
"Courtenay","Courtenay","","British Columbia","Canada"
"Cowichan Bay","Cowichan Bay","","British Columbia","Canada"
"Cranbrook","Cranbrook","","British Columbia","Canada"
"Creston","Creston","","British Columbia","Canada"
"Cumberland","Cumberland","","British Columbia","Canada"
"Dawson Creek","Dawson Creek","","British Columbia","Canada"
"Delta","Delta","","British Columbia","Canada"
"Duncan","Duncan","","British Columbia","Canada"
"Dunsmuir","Dunsmuir","","British Columbia","Canada"
"East Kelowna","East Kelowna","","British Columbia","Canada"
"Elkford","Elkford","","British Columbia","Canada"
"Ellison","Ellison","","British Columbia","Canada"
"Enderby","Enderby","","British Columbia","Canada"
"Errington","Errington","","British Columbia","Canada"
"Esquimalt","Esquimalt","","British Columbia","Canada"
"Fernie","Fernie","","British Columbia","Canada"
"Fort St. James","Fort St. James","","British Columbia","Canada"
"Fort St. John","Fort St. John","","British Columbia","Canada"
"Fruitvale","Fruitvale","","British Columbia","Canada"
"Gabriola Island","Gabriola Island","","British Columbia","Canada"
"Gibsons","Gibsons","","British Columbia","Canada"
"Gold River","Gold River","","British Columbia","Canada"
"Golden","Golden","","British Columbia","Canada"
"Grand Forks","Grand Forks","","British Columbia","Canada"
"Grindrod","Grindrod","","British Columbia","Canada"
"Harrison Hot Springs","Harrison Hot Springs","","British Columbia","Canada"
"Highlands","Highlands","","British Columbia","Canada"
"Hilliers","Hilliers","","British Columbia","Canada"
"Hope","Hope","","British Columbia","Canada"
"Houston","Houston","","British Columbia","Canada"
"Hudson Hope","Hudson Hope","","British Columbia","Canada"
"Invermere","Invermere","","British Columbia","Canada"
"Kaleden","Kaleden","","British Columbia","Canada"
"Kamloops","Kamloops","","British Columbia","Canada"
"Kelowna","Kelowna","","British Columbia","Canada"
"Kent","Kent","","British Columbia","Canada"
"Keremeos","Keremeos","","British Columbia","Canada"
"Kimberley","Kimberley","","British Columbia","Canada"
"Kitimat","Kitimat","","British Columbia","Canada"
"Ladysmith","Ladysmith","","British Columbia","Canada"
"Lake Country","Lake Country","","British Columbia","Canada"
"Lake Cowichan","Lake Cowichan","","British Columbia","Canada"
"Lakeview","Lakeview","","British Columbia","Canada"
"Langford Station","Langford Station","","British Columbia","Canada"
"Langley","Langley","","British Columbia","Canada"
"Lillooet","Lillooet","","British Columbia","Canada"
"Lions Bay","Lions Bay","","British Columbia","Canada"
"Logan Lake","Logan Lake","","British Columbia","Canada"
"Lumby","Lumby","","British Columbia","Canada"
"Mackenzie","Mackenzie","","British Columbia","Canada"
"Maple Ridge","Maple Ridge","","British Columbia","Canada"
"Merritt","Merritt","","British Columbia","Canada"
"Metchosin","Metchosin","","British Columbia","Canada"
"Mission","Mission","","British Columbia","Canada"
"Nakusp","Nakusp","","British Columbia","Canada"
"Nanaimo","Nanaimo","","British Columbia","Canada"
"Naramata","Naramata","","British Columbia","Canada"
"Nelson","Nelson","","British Columbia","Canada"
"New Westminster","New Westminster","","British Columbia","Canada"
"Nisga'a","Nisga'a","","British Columbia","Canada"
"North Cowichan","North Cowichan","","British Columbia","Canada"
"North Saanich","North Saanich","","British Columbia","Canada"
"North Vancouver","North Vancouver","","British Columbia","Canada"
"Northern Rockies","Northern Rockies","","British Columbia","Canada"
"Oak Bay","Oak Bay","","British Columbia","Canada"
"Oliver","Oliver","","British Columbia","Canada"
"One Hundred Mile House","One Hundred Mile House","","British Columbia","Canada"
"Ootischenia","Ootischenia","","British Columbia","Canada"
"Osoyoos","Osoyoos","","British Columbia","Canada"
"Parksville","Parksville","","British Columbia","Canada"
"Peachland","Peachland","","British Columbia","Canada"
"Pemberton","Pemberton","","British Columbia","Canada"
"Penticton","Penticton","","British Columbia","Canada"
"PINANTAN LAKE","PINANTAN LAKE","","British Columbia","Canada"
"Pitt Meadows","Pitt Meadows","","British Columbia","Canada"
"Popkum","Popkum","","British Columbia","Canada"
"Port Alberni","Port Alberni","","British Columbia","Canada"
"Port Coquitlam","Port Coquitlam","","British Columbia","Canada"
"Port Hardy","Port Hardy","","British Columbia","Canada"
"Port McNeill","Port McNeill","","British Columbia","Canada"
"Port Moody","Port Moody","","British Columbia","Canada"
"Powell River","Powell River","","British Columbia","Canada"
"Prince George","Prince George","","British Columbia","Canada"
"Prince Rupert","Prince Rupert","","British Columbia","Canada"
"Princeton","Princeton","","British Columbia","Canada"
"Qualicum Beach","Qualicum Beach","","British Columbia","Canada"
"Quesnel","Quesnel","","British Columbia","Canada"
"Richmond","Richmond","","British Columbia","Canada"
"Rossland","Rossland","","British Columbia","Canada"
"Royston","Royston","","British Columbia","Canada"
"Saanich","Saanich","","British Columbia","Canada"
